2024-02-01 16:02:182 INFO  HomePage :47 - Click on Casino Tab: [[ChromeDriver: chrome on windows (2413003232ed4bd02f5b7a3fd41adfff)] -> link text: Casino]
2024-02-01 16:02:238 INFO  HomePage :51 - verify popular online casino games message: [[ChromeDriver: chrome on windows (2413003232ed4bd02f5b7a3fd41adfff)] -> css selector: body > div:nth-child(3) > div:nth-child(1) > div:nth-child(2) > section:nth-child(6) > h2:nth-child(1)]
2024-02-01 16:02:67 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-02-01 16:02:530 INFO  HomePage :37 - Click on accept all cookies: [[ChromeDriver: chrome on windows (be903c0181ded17b098952b00af44f0d)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 16:02:910 INFO  HomePage :56 - Click on login button:[[ChromeDriver: chrome on windows (be903c0181ded17b098952b00af44f0d)] -> xpath: //a[normalize-space()='Login']]
2024-02-01 16:02:95 INFO  HomePage :59 - Verify the virgin games image: [[ChromeDriver: chrome on windows (be903c0181ded17b098952b00af44f0d)] -> xpath: //img[@alt='Virgin Games']]
2024-02-01 16:02:282 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-02-01 16:02:961 INFO  HomePage :37 - Click on accept all cookies: [[ChromeDriver: chrome on windows (fa7c4baa0127f6a304fda27eefd2103e)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 16:02:338 INFO  HomePage :56 - Click on login button:[[ChromeDriver: chrome on windows (fa7c4baa0127f6a304fda27eefd2103e)] -> xpath: //a[normalize-space()='Login']]
2024-02-01 16:02:181 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-02-01 16:02:830 INFO  HomePage :37 - Click on accept all cookies: [[ChromeDriver: chrome on windows (9ac96f1cd76de1b11129e942c4e284c2)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 16:02:41 INFO  HomePage :41 - Verify Welcome message on homepage: [[ChromeDriver: chrome on windows (9ac96f1cd76de1b11129e942c4e284c2)] -> xpath: //h1[normalize-space()='Welcome to Virgin Games']]
2024-02-01 16:02:649 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-02-01 16:02:100 INFO  HomePage :37 - Click on accept all cookies: [[ChromeDriver: chrome on windows (d2fa0815c06644ae0750d585ed40a7c1)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 16:02:445 INFO  HomePage :47 - Click on Casino Tab: [[ChromeDriver: chrome on windows (d2fa0815c06644ae0750d585ed40a7c1)] -> link text: Casino]
2024-02-01 16:02:555 INFO  HomePage :51 - verify popular online casino games message: [[ChromeDriver: chrome on windows (d2fa0815c06644ae0750d585ed40a7c1)] -> css selector: body > div:nth-child(3) > div:nth-child(1) > div:nth-child(2) > section:nth-child(6) > h2:nth-child(1)]
2024-02-01 16:02:282 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-02-01 16:02:827 INFO  HomePage :37 - Click on accept all cookies: [[ChromeDriver: chrome on windows (703db656e42a9513e088b7d3660daa93)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 16:02:84 INFO  HomePage :56 - Click on login button:[[ChromeDriver: chrome on windows (703db656e42a9513e088b7d3660daa93)] -> xpath: //a[normalize-space()='Login']]
2024-02-01 16:02:777 INFO  HomePage :59 - Verify the virgin games image: [[ChromeDriver: chrome on windows (703db656e42a9513e088b7d3660daa93)] -> xpath: //img[@alt='Virgin Games']]
2024-02-01 17:02:734 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-02-01 17:02:126 INFO  HomePage :36 - Click on accept all cookies: [[ChromeDriver: chrome on windows (d35ec8006b9f5435908af3760b1035d8)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 17:02:168 INFO  HomePage :40 - Verify Welcome message on homepage: [[ChromeDriver: chrome on windows (d35ec8006b9f5435908af3760b1035d8)] -> xpath: //h1[normalize-space()='Welcome to Virgin Games']]
2024-02-01 17:02:14 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-02-01 17:02:487 INFO  HomePage :36 - Click on accept all cookies: [[ChromeDriver: chrome on windows (0e0c2abfec0199f96ee08933bb17270a)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 17:02:816 INFO  HomePage :46 - Click on Casino Tab: [[ChromeDriver: chrome on windows (0e0c2abfec0199f96ee08933bb17270a)] -> link text: Casino]
2024-02-01 17:02:956 INFO  HomePage :50 - verify popular online casino games message: [[ChromeDriver: chrome on windows (0e0c2abfec0199f96ee08933bb17270a)] -> css selector: body > div:nth-child(3) > div:nth-child(1) > div:nth-child(2) > section:nth-child(6) > h2:nth-child(1)]
2024-02-01 17:02:809 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-02-01 17:02:167 INFO  HomePage :36 - Click on accept all cookies: [[ChromeDriver: chrome on windows (8e2a09f57d284ab0aea377ee6bca1fcb)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 17:02:539 INFO  HomePage :55 - Click on search button:[[ChromeDriver: chrome on windows (8e2a09f57d284ab0aea377ee6bca1fcb)] -> xpath: (//*[name()='svg'][@id='Capa_1'])[1]]
2024-02-01 17:02:657 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-02-01 17:02:132 INFO  HomePage :29 - Click on accept all cookies: [[ChromeDriver: chrome on windows (9ce068e0c9bd50fe4fea66dbe874c65f)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 17:02:180 INFO  HomePage :33 - Verify Welcome message on homepage: [[ChromeDriver: chrome on windows (9ce068e0c9bd50fe4fea66dbe874c65f)] -> xpath: //h1[normalize-space()='Welcome to Virgin Games']]
2024-02-01 17:02:13 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2024-02-01 17:02:391 INFO  HomePage :29 - Click on accept all cookies: [[ChromeDriver: chrome on windows (380c27888bb2f59158a6c177f0e5f9b9)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 17:02:667 INFO  HomePage :39 - Click on Casino Tab: [[ChromeDriver: chrome on windows (380c27888bb2f59158a6c177f0e5f9b9)] -> link text: Casino]
2024-02-01 17:02:832 INFO  HomePage :43 - verify popular online casino games message: [[ChromeDriver: chrome on windows (380c27888bb2f59158a6c177f0e5f9b9)] -> css selector: body > div:nth-child(3) > div:nth-child(1) > div:nth-child(2) > section:nth-child(6) > h2:nth-child(1)]
